time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-13T12:01:18.331Z,61.3483,-150.0954,18.9,2.6,ml,,,,0.95,ak,ak0194qji79t,2019-04-13T20:03:18.730Z,"17km NW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-13T11:37:06.999Z,-5.2006,151.9572,57.35,4.8,mb,,90,1.023,0.61,us,us700035dg,2019-04-13T12:10:16.040Z,"99km SSW of Kokopo, Papua New Guinea",earthquake,9.7,7.7,0.052,114,reviewed,us,us
2019-04-13T11:20:37.050Z,18.3325,-67.9538,71,2.71,md,7,177,0.905,0.24,pr,pr2019103012,2019-04-13T17:35:03.309Z,"55km ESE of Punta Cana, Dominican Republic",earthquake,2.33,2.91,0.23,6,reviewed,pr,pr
2019-04-13T09:50:45.209Z,-5.3576,145.9517,79.03,5.2,mww,,25,4.195,0.66,us,us700035cs,2019-04-13T13:20:44.228Z,"22km SE of Madang, Papua New Guinea",earthquake,5.7,5.8,0.066,22,reviewed,us,us
2019-04-13T09:06:58.720Z,36.0643333,-117.6871667,0.7,2.65,ml,29,41,0.12,0.16,ci,ci38545024,2019-04-13T09:44:29.247Z,"24km E of Coso Junction, CA",earthquake,0.23,0.4,0.136,26,automatic,ci,ci
2019-04-13T08:59:36.545Z,26.0711,129.5703,10,4.6,mb,,153,1.39,0.93,us,us700035c6,2019-04-13T09:16:46.040Z,"169km ESE of Nago, Japan",earthquake,7.3,1.9,0.112,24,reviewed,us,us
2019-04-13T08:44:03.060Z,-6.522,148.6864,38.45,5.2,mww,,55,3.238,0.75,us,us700035bx,2019-04-13T16:46:37.771Z,"90km E of Finschhafen, Papua New Guinea",earthquake,8.8,7,0.068,21,reviewed,us,us
2019-04-13T08:28:03.310Z,18.9493,-67.452,51,2.82,md,3,334,0.8559,0.52,pr,pr2019103011,2019-04-13T14:32:27.910Z,"62km NW of San Antonio, Puerto Rico",earthquake,11.79,29.44,0,1,reviewed,pr,pr
2019-04-13T08:17:57.449Z,26.1999,129.5757,10,4.6,mb,,72,1.328,1.04,us,us700035bs,2019-04-13T08:34:43.040Z,"165km ESE of Nago, Japan",earthquake,6.5,1.8,0.09,37,reviewed,us,us
2019-04-13T08:08:27.827Z,15.4536,-94.4366,41.21,4.4,mb,,180,2.361,1.07,us,us700035bl,2019-04-13T08:24:02.040Z,"88km SW of Paredon, Mexico",earthquake,10.1,11.7,0.071,57,reviewed,us,us
